# x,y,z,data
5.704378452465237892e+00,-5.987709072042921576e-01,-2.045457123436022595e+00,2.065161512311336489e-01
5.440279419348606815e+00,1.804648879136705908e+00,-1.845225329595487462e+00,-4.688324109037966120e-02
4.852333234940317652e+00,-1.059481283560167242e+00,-1.427912919790384816e+00,-6.899750452203037843e-02
5.664014943185631701e+00,3.805320697423050902e+00,-2.838602575438659681e+00,-4.363261331607827254e-01
4.301340531620363450e+00,3.754492055958891683e+00,-2.684855132667692601e+00,-6.729852308549432172e-01
5.271622678721457511e+00,4.760635215754247085e+00,-2.119801242139255137e+00,2.133309331942981335e-02
3.840965865662191447e+00,9.812234261529910739e-01,-1.518892227457134148e+00,-1.856929600229987112e-02
4.538425889316821227e+00,5.250879572782887195e-01,-1.842517131071676584e+00,2.287268448892501305e-01
3.116834616249677836e+00,9.262248302935400801e-01,-1.295589201535536361e+00,4.042088524506801811e-03
4.329725361269916917e+00,5.555160993579182360e+00,-2.653698139914373311e+00,6.116997434339686013e-01
4.286728593989032277e+00,1.317989724990460410e+00,-3.848902742695743839e+00,1.731558916939199833e-01
3.365987761098784503e+00,2.114597213855811120e+00,-1.556316142050950813e+00,1.667022532912686194e-03
4.944184672128773883e+00,1.686501045335742077e+00,-2.831115540015736176e+00,-1.069870271882096130e-01
3.548058589648710459e+00,2.693787034403970715e+00,-3.746685597445090998e+00,-2.931064257813540963e-01
4.806448754391560385e+00,1.241265896757355769e+00,-2.213719946753496259e+00,1.931521308256116953e-01
5.030601432047326682e+00,4.742906583425725131e+00,-1.985670125818323140e+00,1.168150215449804095e-02
4.954477298558096265e+00,1.648353422148325365e+00,-2.018735415340647155e+00,-3.257846051563238060e-02
5.887858807385132565e+00,3.676662627734703648e-01,-1.795962941100020860e+00,8.023658244100219383e-02
3.715461637306084697e+00,1.952783843481476822e+00,-2.454764188962223592e+00,-1.564839614785108746e-01
4.754020838252421832e+00,-2.517168263713499332e+00,-3.704611583406932418e+00,-6.854792677417494984e-01
3.629873762900596379e+00,5.193367928025899971e+00,-3.263851804175989191e+00,2.154117969825551093e-01
5.970822763569586300e+00,-3.188290706956749876e+00,-1.555241252103514160e+00,4.774790707880411517e-03
5.668810790661368060e+00,-3.670476732910485929e-01,-2.370264294961205387e+00,3.857745768441244172e-01
5.677447301250518663e+00,4.007208000602235032e+00,-1.495801332165178632e+00,2.765087678687425110e-02
5.182865462354171449e+00,2.590457473506232233e+00,-3.806947282920282838e+00,-5.973951102355086196e-01
5.421627663473142178e+00,1.385507818311131345e+00,-3.442570250476828075e+00,1.335198648562334056e-01
3.121907925355681179e+00,-9.088104107196723902e-01,-2.287934418880172238e+00,-7.951906504536426432e-03
4.659015949154563074e+00,2.631407782282495944e+00,-1.346283961153061703e+00,1.940032252340075924e-01
4.677961470124217591e+00,2.582744672140407260e+00,-1.199883233301677343e+00,3.071411577813029092e-01
3.188662347151983933e+00,-3.356038783196431119e+00,-2.092105560243690210e+00,-2.289605820486726243e-02
4.378628573794067336e+00,5.350499006980031780e+00,-1.836884510296572071e+00,1.479953898410017454e-01
5.756837010336931293e+00,-3.206149194412525105e+00,-3.011583238009538199e+00,-4.971018699784328088e-01
4.590876378365480903e+00,4.356812820165448130e+00,-2.533714522048910567e+00,-2.836599108200048569e-01
4.893730910896159969e+00,2.667437508926379763e+00,-3.215510513860492914e+00,-8.727007431719487895e-01
5.247238485869128333e+00,1.226467780685924325e+00,-1.118826951856749741e+00,-1.268384259550084381e-01
3.391501163415112874e+00,-2.863266964407139348e+00,-1.195405603318925536e+00,8.718526118308404793e-02
3.798387322485289097e+00,1.871285415521548146e+00,-1.167311766024515585e+00,7.095701963007970681e-02
4.516508232651387900e+00,-3.604962864610561368e+00,-1.033636693076267932e+00,4.489862828283318619e-01
4.856342351674308055e+00,2.794699629480401626e+00,-2.435257334327102008e+00,-7.080306418775723643e-01
4.924535590945300356e+00,-3.513509289890676790e+00,-2.351490753913074272e+00,-6.409586918701966063e-01
5.374736259262195226e+00,-9.039047743163548532e-01,-1.706724064774064686e+00,6.609551695242149583e-02
5.244420980544290956e+00,-3.536898940268334623e+00,-2.449027895660568888e+00,-6.120843126675274970e-01
4.874630804586214339e+00,1.243038551384454848e+00,-1.087501580815180446e+00,-1.476318300225735181e-01
